"obce","Běžné výdaje","Celková plocha území obce","Daňové příjmy","Investiční přijaté dotace","Kapitálové příjmy","Kapitálové výdaje","Nedaňové příjmy","Neinvestiční přijaté dotace","Počet dokončených bytů","Počet gymnázií","Počet lůžek v ubytovacích zařízeních","Počet mateřských škol","Počet obyvatel","Počet obyvatel nad 65 let","Počet obyvatel ve věku 0 až 14 let","Počet obyvatel ve věku 15-59 muži","Počet obyvatel ve věku 15-59 ženy","Počet obyvatel ve věku 60-64 let ženy","Počet obyvatel ve věku 60-64 muži","Počet pokojů v ubytovacích zařízeních","Počet SOŠ a praktických škol","Počet SOU","Počet ubytovacích zařízení","Počet uchazečů o zaměstnání","Počet základních škol s 1. st.","Počet základních škol s 2. st.","Počet základních škol úplných","Počet žáků v gymnáziích","Počet žáků v mateřských školách","Počet žáků v SOŠ a praktických školách","Počet žáků v SOU","Počet žáků v základních školách s 1. st.","Počet žáků v základních školách s 2. st.","Počet žáků v základních školách úplných","Přijaté dotace","Příjmy","Přistěhovalí celkem","Saldo příjmů a výdajů","Vlastní příjmy","Výdaje celkem","Výměra chmelnic","Výměra lesní půdy","Výměra orné půdy","Výměra ostatních ploch","Výměra ovocných sadů","Výměra trvalých travních porostů","Výměra vinic","Výměra vodních ploch","Výměra zahrad","Výměra zastavěných ploch","Výměra zemědělské půdy","Vystěhovalí celkem","Zemřelí celkem","Živě narození celkem","kraj","orp","okres","Ordinace gynekologa","Ordinace praktického lékaře","Ordinace praktického lékaře pro děti a dorost","Ordinace specialisty","Ordinace stomatologa","Počet lékáren","Domovy pro seniory","Domovy pro seniory - počet míst","Domovy pro osoby se zdravotním postižením","Domovy pro osoby se zdravotním postižením - počet míst","Počet nemocnic","Počet lůžek v nemocnicích"
"Baliny","2 313,40","489,03","1 703,77","0,00","0,00","12,76","148,84","679,17","0,00","0,00",NA,"0,00","123,00","25,00","21,00","35,00","36,00","4,00","2,00",NA,"0,00","0,00",NA,"3,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","679,17","2 531,78","0,00","205,62","1 852,61","2 326,16","0,00","254,34","70,00","25,27","0,00","123,31","0,00","8,12","4,91","3,08","198,22","0,00","1,00","1,00","Vysočina","VELKÉ MEZIŘÍČÍ","Žďár nad Sázavou",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Balkova Lhota","1 253,54","354,95","1 713,93","0,00","0,00","50,00","31,26","79,80","0,00","0,00",NA,"0,00","126,00","17,00","26,00","41,00","36,00","3,00","3,00",NA,"0,00","0,00",NA,"4,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","79,80","1 824,99","3,00","521,45","1 745,19","1 303,54","0,00","12,54","223,65","32,82","0,00","53,20","0,00","16,69","9,69","6,36","286,54","3,00","3,00","1,00","Jihočeský kraj","TÁBOR","Tábor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Banín","4 903,14","1 291,88","5 005,12","0,00","0,32","895,52","725,80","488,28","0,00","0,00",NA,"1,00","313,00","62,00","44,00","98,00","84,00","12,00","13,00",NA,"0,00","0,00",NA,"8,00","0,00","0,00","0,00","0,00","15,00","0,00","0,00","0,00","0,00","0,00","488,28","6 219,51","4,00","420,85","5 731,23","5 798,66","0,00","413,43","670,18","87,46","0,00","99,19","0,00","2,49","9,85","9,27","779,22","7,00","3,00","1,00","Pardubický kraj","SVITAVY","Svitavy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bánov","22 418,47","1 617,84","27 003,52","1 985,71","6 760,33","8 274,46","5 022,82","1 803,51","5,00","0,00",NA,"1,00","2 103,00","391,00","308,00","656,00","581,00","85,00","82,00",NA,"0,00","0,00",NA,"45,00","0,00","0,00","1,00","0,00","70,00","0,00","0,00","0,00","0,00","239,00","3 789,22","42 575,89","57,00","11 882,97","38 786,67","30 692,93","0,00","268,15","802,83","173,81","78,37","191,68","0,00","27,31","39,32","36,38","1 112,20","46,00","24,00","18,00","Zlínský kraj","UHERSKÝ BROD","Uherské Hradiště",NA,"2,00",NA,NA,"1,00","2,00",NA,NA,NA,NA,NA,NA
"Báňovice","1 535,25","479,75","1 699,26","113,85","116,16","276,03","406,03","213,70","0,00","0,00",NA,"1,00","104,00","20,00","12,00","34,00","29,00","3,00","6,00",NA,"0,00","0,00",NA,"3,00","0,00","0,00","0,00","0,00","18,00","0,00","0,00","0,00","0,00","0,00","327,56","2 549,00","3,00","737,72","2 221,45","1 811,29","0,00","49,95","346,26","17,93","0,00","42,65","0,00","14,83","4,37","3,77","393,28","1,00","2,00","1,00","Jihočeský kraj","DAČICE","Jindřichův Hradec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bantice","4 199,38","376,33","4 073,25","0,00","167,83","3 166,85","1 584,22","186,89","2,00","0,00",NA,"0,00","292,00","40,00","54,00","93,00","93,00","6,00","6,00",NA,"0,00","0,00",NA,"10,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","186,89","6 012,19","9,00","-1 354,04","5 825,30","7 366,23","0,00","8,13","306,59","28,74","0,00","4,79","10,62","2,79","7,73","6,94","329,73","3,00","0,00","6,00","Jihomoravský kraj","ZNOJMO","Znojmo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Barchov","3 167,24","592,48","4 149,65","55,00","0,00","1 660,94","325,99","394,57","2,00","0,00",NA,"0,00","314,00","43,00","51,00","108,00","90,00","11,00","11,00",NA,"0,00","0,00",NA,"5,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","449,57","4 925,20","6,00","97,03","4 475,63","4 828,17","0,00","161,51","358,37","26,17","0,11","18,45","0,00","10,28","9,24","8,34","386,17","11,00","3,00","3,00","Královéhradecký kraj","NOVÝ BYDŽOV","Hradec Králové",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Barchov","1 993,43","442,15","2 576,64","0,00","3,02","437,95","249,78","129,55","20,00","0,00",NA,"0,00","206,00","30,00","30,00","74,00","59,00","5,00","8,00",NA,"0,00","0,00",NA,"4,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","129,55","2 958,99","14,00","527,61","2 829,44","2 431,38","0,00","8,98","367,49","19,23","1,22","23,08","0,00","2,74","11,68","7,72","403,48","1,00","0,00","4,00","Pardubický kraj","PARDUBICE","Pardubice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Barchovice","2 568,68","1 774,41","4 365,67","0,00","51,40","115,07","211,37","73,75","0,00","0,00",NA,"0,00","232,00","48,00","36,00","70,00","66,00","7,00","5,00",NA,"0,00","0,00",NA,"4,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","73,75","4 702,20","7,00","2 018,45","4 628,45","2 683,75","0,00","796,00","720,66","67,05","6,48","139,36","0,00","14,59","12,01","18,27","878,51","2,00","1,00","4,00","Středočeský kraj","KOLÍN","Kolín",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bařice-Velké Těšany","3 574,97","668,71","6 205,40","0,00","4,20","3 492,32","819,58","138,30","2,00","0,00",NA,"1,00","472,00","92,00","61,00","158,00","124,00","19,00","18,00",NA,"0,00","0,00",NA,"14,00","0,00","0,00","0,00","0,00","18,00","0,00","0,00","0,00","0,00","0,00","138,30","7 167,48","12,00","100,19","7 029,18","7 067,29","0,00","47,03","465,75","62,28","14,82","32,22","0,00","3,78","31,71","11,13","544,49","8,00","2,00","4,00","Zlínský kraj","KROMĚŘÍŽ","Kroměříž",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bartošovice","20 092,15","2 414,62","23 463,55","290,00","282,56","8 864,79","7 945,10","2 714,87","6,00","0,00",NA,"1,00","1 686,00","295,00","276,00","525,00","483,00","48,00","59,00",NA,"0,00","0,00","1,00","41,00","0,00","0,00","1,00","0,00","60,00","0,00","0,00","0,00","0,00","166,00","3 004,87","34 696,08","28,00","5 739,15","31 691,21","28 956,93","0,00","138,31","1 633,50","156,50","0,00","205,56","0,00","167,36","76,75","36,64","1 915,81","49,00","12,00","19,00","Moravskoslezský kraj","NOVÝ JIČÍN","Nový Jičín",NA,"1,00","1,00",NA,"1,00",NA,NA,NA,NA,NA,NA,NA
"Bartošovice v Orlických horách","6 949,89","3 560,54","5 804,95","0,00","382,32","2 089,89","1 341,89","431,14","0,00","0,00","344,00","1,00","208,00","28,00","34,00","65,00","65,00","9,00","7,00","93,00","0,00","0,00","9,00","1,00","0,00","0,00","1,00","0,00","15,00","0,00","0,00","0,00","0,00","17,00","431,14","7 960,30","10,00","-1 079,48","7 529,16","9 039,78","0,00","2 338,78","0,28","115,82","0,00","1 031,71","0,00","57,06","4,22","12,68","1 036,21","8,00","2,00","0,00","Královéhradecký kraj","RYCHNOV NAD KNĚŽNOU","Rychnov nad Kněžnou",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bartoušov","1 242,90","591,75","2 215,82","0,00","22,08","698,94","616,16","71,96","1,00","0,00",NA,"0,00","147,00","40,00","14,00","51,00","40,00","0,00","2,00",NA,"0,00","0,00",NA,"10,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","71,96","2 926,02","3,00","984,18","2 854,06","1 941,83","0,00","160,86","297,15","35,37","0,00","72,14","0,00","13,52","8,29","4,43","377,57","4,00","2,00","1,00","Vysočina","HAVLÍČKŮV BROD","Havlíčkův Brod",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Baška","42 870,58","1 283,37","48 206,10","1 906,76","47,65","28 143,51","11 377,53","2 632,56","16,00","0,00",NA,"1,00","3 822,00","715,00","596,00","1 167,00","1 106,00","127,00","111,00",NA,"0,00","0,00","1,00","92,00","1,00","0,00","0,00","0,00","128,00","0,00","0,00","142,00","0,00","0,00","4 539,33","64 170,61","131,00","-6 843,48","59 631,28","71 014,09","0,00","266,59","408,12","169,50","2,26","169,53","0,00","72,50","146,94","47,94","726,84","95,00","38,00","25,00","Moravskoslezský kraj","FRÝDEK-MÍSTEK","Frýdek-Místek","1,00","1,00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bašnice","2 299,00","612,67","3 174,37","0,00","67,56","167,04","136,34","76,27","0,00","0,00",NA,"0,00","204,00","41,00","29,00","63,00","54,00","9,00","8,00",NA,"0,00","0,00",NA,"3,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","76,27","3 454,53","8,00","988,49","3 378,27","2 466,04","0,00","146,86","379,52","35,07","0,14","32,92","0,00","3,09","6,54","8,53","419,13","8,00","1,00","0,00","Královéhradecký kraj","HOŘICE","Jičín",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bašť","15 067,75","780,81","27 776,81","711,71","4 073,00","5 576,46","1 378,57","939,89","54,00","0,00",NA,"2,00","2 522,00","183,00","632,00","822,00","782,00","49,00","54,00",NA,"0,00","0,00",NA,"30,00","0,00","0,00","0,00","0,00","144,00","0,00","0,00","0,00","0,00","0,00","1 651,60","34 879,98","239,00","14 235,77","33 228,38","20 644,21","0,00","154,36","510,78","50,72","4,24","3,78","0,00","4,28","33,87","18,78","552,67","63,00","21,00","32,00","Středočeský kraj","BRANDÝS N.L.-ST.BOLES","Praha-východ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Batelov","30 370,66","4 269,70","34 998,46","60,00","158,84","5 541,79","3 331,18","2 171,90","2,00","0,00",NA,"1,00","2 372,00","475,00","364,00","729,00","666,00","74,00","64,00",NA,"0,00","0,00",NA,"34,00","0,00","0,00","1,00","0,00","107,00","0,00","0,00","0,00","0,00","200,00","2 231,90","40 720,39","57,00","4 807,94","38 488,48","35 912,45","0,00","1 621,14","1 671,21","318,07","1,30","513,60","0,00","58,94","38,69","46,75","2 224,80","45,00","29,00","26,00","Vysočina","JIHLAVA","Jihlava",NA,"1,00",NA,NA,"1,00","1,00",NA,NA,NA,NA,NA,NA
"Batňovice","8 714,70","446,69","9 596,74","6 420,00","1,52","11 490,72","285,13","1 089,22","4,00","0,00",NA,"1,00","769,00","149,00","120,00","241,00","209,00","23,00","27,00",NA,"0,00","0,00",NA,"12,00","1,00","0,00","0,00","0,00","25,00","0,00","0,00","43,00","0,00","0,00","7 509,22","17 392,61","28,00","-2 812,80","9 883,40","20 205,41","0,00","93,15","159,83","34,74","0,00","101,88","0,00","3,72","39,99","13,38","301,70","27,00","6,00","10,00","Královéhradecký kraj","TRUTNOV","Trutnov",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bavorov","32 591,01","3 540,49","23 829,80","129,37","1 671,68","828,55","6 091,63","3 766,12","2,00","0,00",NA,"1,00","1 597,00","314,00","252,00","472,00","437,00","66,00","56,00",NA,"0,00","0,00","2,00","53,00","0,00","0,00","1,00","0,00","79,00","0,00","0,00","0,00","0,00","178,00","3 895,48","35 488,59","39,00","2 069,04","31 593,11","33 419,55","0,00","953,69","1 600,15","264,04","17,28","510,23","0,00","114,35","37,23","43,53","2 164,89","50,00","18,00","21,00","Jihočeský kraj","VODŇANY","Strakonice",NA,NA,"1,00",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bavory","3 455,88","500,36","5 159,72","200,00","115,56","723,58","391,69","207,49","2,00","0,00","79,00","0,00","395,00","62,00","64,00","121,00","105,00","26,00","17,00","25,00","0,00","0,00","4,00","19,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","407,49","6 074,46","0,00","1 895,00","5 666,97","4 179,46","0,00","30,00","253,85","69,22","1,94","7,71","111,69","6,09","10,94","8,92","386,13","6,00","4,00","4,00","Jihomoravský kraj","MIKULOV","Břeclav",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bavoryně","1 732,37","222,38","3 353,97","5 621,00","27,00","14 953,92","315,00","96,03","6,00","0,00",NA,"0,00","328,00","48,00","68,00","100,00","96,00","9,00","7,00",NA,"0,00","0,00",NA,"5,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","5 717,03","9 412,99","18,00","-7 273,29","3 695,96","16 686,28","0,00","6,08","153,14","31,27","2,77","15,37","0,00","3,45","5,35","4,95","176,64","7,00","1,00","9,00","Středočeský kraj","BEROUN","Beroun",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bdeněves","5 039,43","476,28","7 452,43","400,00","1,00","3 967,45","514,48","341,92","8,00","0,00",NA,"0,00","669,00","92,00","129,00","215,00","202,00","10,00","21,00",NA,"0,00","0,00",NA,"11,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","741,92","8 709,82","40,00","-297,06","7 967,90","9 006,88","0,00","22,84","332,58","47,89","5,22","27,52","0,00","10,56","19,88","9,78","385,21","19,00","6,00","4,00","Plzeňský kraj","NÝŘANY","Plzeň-sever",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bdín","333,62","211,65","904,12","0,00","0,00","0,00","77,28","69,65","0,00","0,00",NA,"0,00","67,00","14,00","14,00","12,00","21,00","4,00","2,00",NA,"0,00","0,00",NA,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","69,65","1 051,05","0,00","717,43","981,40","333,62","0,21","33,73","128,45","13,30","1,23","24,44","0,00","2,18","3,72","4,39","158,06","1,00","0,00","1,00","Středočeský kraj","RAKOVNÍK","Rakovník",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Běchary","4 251,18","879,38","4 724,53","0,00","0,00","550,07","469,86","788,14","0,00","0,00",NA,"1,00","292,00","45,00","57,00","86,00","88,00","6,00","10,00",NA,"0,00","0,00",NA,"6,00","1,00","0,00","0,00","0,00","24,00","0,00","0,00","23,00","0,00","0,00","788,14","5 982,53","24,00","1 181,29","5 194,39","4 801,25","0,00","76,62","672,77","40,41","6,73","50,18","0,00","8,42","7,86","16,39","737,54","11,00","3,00","3,00","Královéhradecký kraj","JIČÍN","Jičín",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bechlín","15 410,63","1 525,26","16 081,42","900,00","3,68","1 999,62","810,80","1 689,97","3,00","0,00",NA,"1,00","1 250,00","209,00","209,00","367,00","357,00","53,00","55,00",NA,"0,00","0,00",NA,"21,00","1,00","0,00","0,00","0,00","39,00","0,00","0,00","53,00","0,00","0,00","2 589,97","19 485,87","43,00","2 075,63","16 895,90","17 410,24","0,03","382,57","825,21","194,81","32,61","23,13","6,80","4,38","32,37","23,35","920,15","33,00","23,00","12,00","Ústecký kraj","ROUDNICE NAD LABEM","Litoměřice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bechyně","105 687,77","2 129,30","83 541,30","0,00","7 346,73","30 665,30","43 761,21","7 925,27","0,00","0,00","904,00","1,00","5 125,00","1 083,00","725,00","1 504,00","1 403,00","203,00","207,00","423,00","1,00","0,00","8,00","134,00","0,00","0,00","2,00","0,00","183,00","199,00","0,00","0,00","0,00","468,00","7 925,27","142 574,50","142,00","6 221,44","134 649,23","136 353,07","0,00","678,03","909,55","198,97","0,90","161,43","0,00","60,87","66,76","52,79","1 138,64","140,00","66,00","60,00","Jihočeský kraj","TÁBOR","Tábor","1,00","3,00","2,00",NA,"5,00","2,00","1,00","122,00",NA,NA,NA,NA
"Bečice","820,56","324,36","1 090,51","0,00","1,01","220,55","40,86","85,38","0,00","0,00",NA,"0,00","75,00","19,00","10,00","26,00","12,00","3,00","5,00",NA,"0,00","0,00","2,00","3,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","85,38","1 217,76","3,00","176,65","1 132,38","1 041,11","0,00","142,19","138,02","14,57","0,00","23,50","0,00","0,14","2,76","3,18","164,28","4,00","0,00","2,00","Jihočeský kraj","TÁBOR","Tábor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bečice","1 592,74","440,34","1 604,20","1 033,58","4,20","1 318,88","600,89","79,80","0,00","0,00",NA,"0,00","97,00","20,00","12,00","28,00","31,00","2,00","4,00",NA,"0,00","0,00",NA,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","1 113,38","3 322,67","1,00","411,06","2 209,29","2 911,61","0,00","108,68","240,75","24,48","0,00","39,22","0,00","15,96","5,99","5,27","285,96","2,00","2,00","2,00","Jihočeský kraj","TÝN NAD VLTAVOU","České Budějovice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bečov","39 633,20","2 822,87","21 133,42","0,00","121,85","4 967,32","19 674,80","2 020,61","3,00","0,00",NA,"1,00","1 429,00","213,00","250,00","446,00","411,00","64,00","45,00",NA,"0,00","0,00","1,00","62,00","0,00","0,00","1,00","0,00","58,00","0,00","0,00","0,00","0,00","124,00","2 020,61","42 950,67","52,00","-1 649,85","40 930,06","44 600,52","0,00","60,37","1 782,77","544,54","30,90","318,10","0,00","47,29","25,67","13,22","2 157,44","63,00","15,00","21,00","Ústecký kraj","MOST","Most","1,00","1,00","1,00",NA,"1,00",NA,NA,NA,NA,NA,NA,NA
"Bečov nad Teplou","15 746,88","1 981,73","13 584,13","2 206,65","81,18","2 860,82","1 976,03","1 769,24","0,00","0,00","279,00","1,00","933,00","203,00","134,00","292,00","228,00","41,00","35,00","99,00","0,00","0,00","5,00","14,00","0,00","0,00","1,00","0,00","24,00","0,00","0,00","0,00","0,00","107,00","3 975,89","19 617,23","23,00","1 009,52","15 641,33","18 607,70","0,00","1 337,27","39,29","204,40","0,00","310,13","0,00","47,76","25,60","17,27","375,02","35,00","9,00","4,00","Karlovarský kraj","KARLOVY VARY","Karlovy Vary","1,00","1,00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bečváry","8 312,76","1 627,81","14 586,70","302,30","44,15","1 277,94","1 384,23","968,22","4,00","0,00",NA,"1,00","1 010,00","219,00","155,00","277,00","281,00","45,00","33,00",NA,"0,00","0,00",NA,"29,00","1,00","0,00","0,00","0,00","41,00","0,00","0,00","23,00","0,00","0,00","1 270,52","17 285,60","24,00","7 694,91","16 015,08","9 590,69","0,00","119,57","1 211,28","104,75","7,84","69,46","0,00","49,89","29,36","35,66","1 317,95","27,00","14,00","16,00","Středočeský kraj","KOLÍN","Kolín",NA,"1,00",NA,NA,"1,00",NA,"1,00","4,00","1,00","45,00",NA,NA
"Bedihošť","12 637,53","646,56","14 938,37","1 560,67","0,00","6 811,13","2 583,33","1 134,28","4,00","0,00",NA,"1,00","1 067,00","187,00","176,00","341,00","298,00","35,00","30,00",NA,"0,00","0,00",NA,"19,00","0,00","0,00","1,00","0,00","34,00","0,00","0,00","0,00","0,00","229,00","2 694,95","20 216,65","29,00","767,99","17 521,71","19 448,66","0,00","0,99","473,84","113,92","2,01","11,42","0,00","5,65","21,77","16,97","509,04","36,00","9,00","12,00","Olomoucký kraj","PROSTĚJOV","Prostějov",NA,"1,00",NA,"1,00","1,00",NA,NA,NA,NA,NA,NA,NA
"Bednárec","1 296,40","781,23","1 930,70","215,00","0,00","2 337,03","324,44","79,80","0,00","0,00",NA,"0,00","117,00","16,00","26,00","37,00","31,00","4,00","3,00",NA,"0,00","0,00",NA,"1,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","294,80","2 549,94","9,00","-1 083,49","2 255,14","3 633,43","0,00","271,84","300,22","40,85","0,00","135,29","0,00","22,42","6,17","4,44","441,68","2,00","3,00","2,00","Jihočeský kraj","JINDŘICHŮV HRADEC","Jindřichův Hradec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bednáreček","2 250,45","693,97","2 599,62","90,00","1,80","185,25","313,31","209,80","1,00","0,00",NA,"0,00","183,00","42,00","30,00","47,00","43,00","12,00","9,00",NA,"0,00","0,00",NA,"3,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","299,80","3 214,53","8,00","778,83","2 914,73","2 435,70","0,00","229,21","289,78","36,21","2,58","113,02","0,00","9,88","8,09","5,19","413,47","8,00","1,00","3,00","Jihočeský kraj","JINDŘICHŮV HRADEC","Jindřichův Hradec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bedřichov","11 385,54","2 426,03","7 629,58","527,98","8 870,40","13 020,88","8 127,62","104,84","0,00","0,00","852,00","0,00","331,00","36,00","56,00","117,00","107,00","8,00","7,00","299,00","0,00","0,00","27,00","5,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","632,82","25 260,41","20,00","853,99","24 627,59","24 406,42","0,00","2 169,42","0,00","63,97","0,00","120,44","0,00","56,93","4,03","11,25","124,47","15,00","3,00","2,00","Liberecký kraj","JABLONEC NAD NISOU","Jablonec n.Nisou",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bedřichov","4 283,42","628,26","3 150,68","376,45","2,31","859,67","247,23","1 681,89","0,00","0,00",NA,"0,00","249,00","45,00","38,00","81,00","69,00","8,00","8,00",NA,"0,00","0,00",NA,"5,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","2 058,34","5 458,56","9,00","315,47","3 400,22","5 143,09","0,00","396,71","169,80","25,15","1,09","20,26","0,00","0,62","9,93","4,71","201,08","4,00","4,00","4,00","Jihomoravský kraj","BOSKOVICE","Blansko",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Běhařov","1 932,73","436,76","2 811,43","0,00","48,76","499,73","265,10","607,50","0,00","0,00",NA,"0,00","216,00","28,00","26,00","87,00","63,00","3,00","9,00",NA,"0,00","0,00","1,00","3,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","607,50","3 732,79","1,00","1 300,33","3 125,29","2 432,46","0,00","31,43","159,87","39,83","0,96","181,08","0,00","4,51","12,34","6,74","354,24","6,00","2,00","3,00","Plzeňský kraj","KLATOVY","Klatovy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Běhařovice","8 601,32","1 402,88","6 074,79","278,00","34,98","1 154,73","1 369,89","1 427,73","1,00","0,00",NA,"0,00","374,00","85,00","53,00","114,00","92,00","14,00","16,00",NA,"0,00","0,00",NA,"23,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","1 705,73","9 185,39","8,00","-570,66","7 479,66","9 756,05","0,00","158,61","1 098,75","76,54","5,16","20,77","0,00","6,18","17,59","19,28","1 142,27","7,00","7,00","3,00","Jihomoravský kraj","ZNOJMO","Znojmo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bělá","2 933,60","775,90","3 321,79","1 026,00","0,00","2 784,68","1 094,71","139,22","1,00","0,00",NA,"0,00","270,00","61,00","48,00","76,00","66,00","11,00","8,00",NA,"0,00","0,00","1,00","4,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","1 165,22","5 581,72","10,00","-136,55","4 416,51","5 718,28","0,00","202,91","268,19","69,80","0,00","216,04","0,00","8,09","4,45","6,42","488,68","7,00","3,00","8,00","Liberecký kraj","SEMILY","Semily",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bělá","6 801,15","286,49","7 890,10","296,69","0,00","1 650,68","273,74","1 415,68","1,00","0,00",NA,"1,00","667,00","117,00","89,00","210,00","199,00","25,00","27,00",NA,"0,00","0,00","1,00","30,00","1,00","0,00","0,00","0,00","25,00","0,00","0,00","25,00","0,00","0,00","1 712,37","9 876,21","14,00","1 424,39","8 163,85","8 451,82","0,00","89,12","119,77","21,36","0,00","28,55","0,00","5,05","14,23","8,41","162,55","13,00","7,00","8,00","Moravskoslezský kraj","HLUČÍN","Opava",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bělá","640,77","331,15","855,43","120,00","0,00","394,78","150,75","64,87","0,00","0,00",NA,"0,00","56,00","9,00","5,00","24,00","17,00","1,00","0,00",NA,"0,00","0,00",NA,"4,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","184,87","1 191,06","0,00","155,51","1 006,19","1 035,55","0,00","105,52","150,69","8,90","0,00","55,83","0,00","3,90","4,16","2,15","210,68","0,00","2,00","1,00","Vysočina","PELHŘIMOV","Pelhřimov",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bělá","2 761,99","406,92","2 627,09","0,00","58,90","43,00","385,61","212,76","2,00","0,00",NA,"0,00","215,00","56,00","17,00","70,00","57,00","6,00","9,00",NA,"0,00","0,00",NA,"7,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","212,76","3 284,35","4,00","479,36","3 071,59","2 804,99","0,00","51,69","261,24","22,00","0,00","51,95","0,00","2,93","10,28","6,82","323,48","1,00","2,00","2,00","Vysočina","SVĚTLÁ NAD SÁZAVOU","Havlíčkův Brod",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
