"obce","Běžné výdaje","Daňové příjmy","Investiční přijaté dotace","Kapitálové příjmy","Kapitálové výdaje","Nedaňové příjmy","Neinvestiční přijaté dotace","Počet bytových domácností","Počet bytových domácností vybavených počítačem a připojením na internet","Počet dokončených bytů","Počet domů","Počet ekonomicky aktivních osob","Počet obydlených domů","Počet obyvatel","Počet obyvatel bez vzdělání","Počet obyvatel dle Sčítání lidu 2011","Počet obyvatel nad 65 let","Počet obyvatel s německou národností","Počet obyvatel s polskou národností","Počet obyvatel s romskou národností","Počet obyvatel s ukrajinskou národností","Počet obyvatel s vietnamskou národností","Počet obyvatel s vysokoškolským vzděláním","Počet obyvatel se slovenskou národností","Počet obyvatel se středoškolským vzděláním bez maturity","Počet obyvatel se středoškolským vzděláním s maturitou","Počet obyvatel se základním vzděláním","Počet obyvatel ve věku 0 až 14 let","Počet obyvatel ve věku 15-59 muži","Počet obyvatel ve věku 15-59 ženy","Počet obyvatel ve věku 60-64 let ženy","Počet obyvatel ve věku 60-64 muži","Počet obyvatel, kteří neuvedli vzdělání","Počet osob dojíždějících za prací do obce","Počet osob vyjíždějících z obce za prací","Počet osob zaměstnaných v průmyslu","Počet osob zaměstnaných v zemědělství","Počet osob zaměstnaných ve službách","Počet osob zaměstnaných ve stavebnictví","Počet podnikatelských subjektů celkem","Počet rodinných domů","Počet uchazečů o zaměstnání","Počet zaměstnaných osob","Přijaté dotace","Příjmy","Přistěhovalí celkem","Saldo příjmů a výdajů","Vlastní příjmy","Výdaje celkem","Vystěhovalí celkem","Zemřelí celkem","Živě narození celkem","kraj","orp","okres"
"Bašnice","1 983,98","2 083,51","1 552,00","37,43","4 175,56","136,86","61,18","73,00","32,00","0,00","87,00","89,00","59,00","187,00","1,00","188,00","39,00","0,00","1,00","0,00","0,00","0,00","4,00","2,00","79,00","37,00","33,00","25,00","56,00","56,00","5,00","6,00","8,00","26,00","32,00","20,00","7,00","28,00","7,00","54,00","55,00","11,00","78,00","1 613,18","3 870,97","4,00","-2 288,50","2 257,80","6 159,47","5,00","3,00","5,00","Královéhradecký kraj","HOŘICE","Jičín"
"Bašť","8 620,61","10 443,43","0,00","764,00","2 973,96","3 198,03","713,46","562,00","371,00","23,00","565,00","833,00","498,00","1 631,00","3,00","1 657,00","119,00","5,00","1,00","0,00","20,00","4,00","279,00","63,00","309,00","386,00","129,00","339,00","523,00","577,00","35,00","38,00","138,00","22,00","440,00","96,00","9,00","566,00","53,00","398,00","478,00","27,00","772,00","713,46","15 118,90","158,00","3 524,36","14 405,46","11 594,55","55,00","4,00","24,00","Středočeský kraj","BRANDÝS N.L.-ST.BOLES","Praha-východ"
"Batelov","22 997,97","21 198,17","5 167,74","76,75","11 244,03","2 628,07","3 721,27","829,00","444,00","0,00","816,00","1 072,00","638,00","2 340,00","5,00","2 247,00","384,00","4,00","1,00","1,00","10,00","3,00","125,00","16,00","832,00","478,00","367,00","351,00","681,00","739,00","98,00","87,00","43,00","148,00","356,00","460,00","66,00","343,00","66,00","356,00","603,00","71,00","999,00","8 889,01","32 791,94","50,00","-1 450,01","23 902,99","34 241,96","29,00","23,00","26,00","Vysočina","JIHLAVA","Jihlava"
"Batňovice","4 835,26","5 146,18","1 895,60","31,29","1 956,43","256,33","599,34","283,00","164,00","2,00","253,00","335,00","214,00","744,00","1,00","723,00","134,00","1,00","2,00","0,00","1,00","0,00","46,00","2,00","253,00","165,00","110,00","104,00","215,00","242,00","22,00","27,00","14,00","90,00","128,00","106,00","10,00","137,00","18,00","175,00","209,00","32,00","300,00","2 494,94","7 928,72","14,00","1 137,04","5 433,80","6 791,68","14,00","10,00","4,00","Královéhradecký kraj","TRUTNOV","Trutnov"
"Bavorov","18 201,89","13 764,20","168,00","241,95","2 338,71","4 792,12","2 280,66","588,00","254,00","2,00","701,00","684,00","445,00","1 549,00","9,00","1 499,00","261,00","1,00","0,00","0,00","6,00","2,00","70,00","11,00","542,00","304,00","248,00","235,00","444,00","496,00","59,00","54,00","53,00","36,00","215,00","163,00","65,00","254,00","56,00","341,00","425,00","89,00","608,00","2 448,66","21 246,93","73,00","706,39","18 798,27","20 540,54","37,00","15,00","12,00","Jihočeský kraj","VODŇANY","Strakonice"
"Bavory","3 365,53","3 261,98","0,00","438,92","40,00","419,61","234,26","137,00","72,00","2,00","139,00","218,00","118,00","405,00","1,00","402,00","45,00","0,00","0,00","0,00","0,00","0,00","26,00","4,00","149,00","78,00","68,00","68,00","131,00","125,00","19,00","17,00","7,00","40,00","96,00","46,00","21,00","82,00","14,00","83,00","114,00","21,00","189,00","234,26","4 354,79","7,00","949,27","4 120,51","3 405,53","16,00","3,00","8,00","Jihomoravský kraj","MIKULOV","Břeclav"
"Bavoryně","1 032,56","1 576,13","0,00","0,00","3 758,64","118,14","124,84","77,00","47,00","4,00","84,00","108,00","62,00","221,00","1,00","212,00","32,00","0,00","0,00","0,00","0,00","0,00","13,00","2,00","81,00","45,00","23,00","39,00","67,00","65,00","11,00","7,00","5,00","12,00","42,00","29,00","3,00","44,00","7,00","54,00","62,00","8,00","96,00","124,84","1 819,11","11,00","-2 972,09","1 694,27","4 791,20","1,00","1,00","1,00","Středočeský kraj","BEROUN","Beroun"
"Bdeněves","3 459,90","4 612,23","475,82","14,25","1 251,63","226,04","248,68","220,00","142,00","2,00","224,00","303,00","194,00","633,00","3,00","626,00","88,00","4,00","0,00","2,00","1,00","0,00","46,00","6,00","172,00","152,00","97,00","124,00","188,00","198,00","19,00","16,00","15,00","9,00","135,00","83,00","2,00","129,00","29,00","128,00","191,00","17,00","276,00","724,50","5 577,00","33,00","865,51","4 852,52","4 711,49","21,00","3,00","12,00","Plzeňský kraj","NÝŘANY","Plzeň-sever"
"Bdín","438,65","567,74","0,00","8,84","0,00","88,18","60,41","25,00","6,00","0,00","41,00","21,00","22,00","58,00","0,00","54,00","18,00","0,00","0,00","0,00","0,00","0,00","3,00","0,00","16,00","13,00","13,00","8,00","18,00","11,00","1,00","2,00","1,00","2,00","13,00","6,00","2,00","10,00","2,00","11,00","21,00","1,00","20,00","60,41","725,16","1,00","286,52","664,76","438,64","0,00","2,00","0,00","Středočeský kraj","RAKOVNÍK","Rakovník"
"Běchary","2 615,09","2 507,78","0,00","0,00","184,00","922,38","414,94","78,00","32,00","0,00","119,00","103,00","65,00","235,00","7,00","219,00","41,00","0,00","0,00","0,00","1,00","0,00","5,00","0,00","84,00","19,00","54,00","39,00","66,00","76,00","6,00","7,00","15,00","15,00","24,00","26,00","15,00","16,00","7,00","41,00","63,00","11,00","81,00","414,94","3 845,07","21,00","1 046,02","3 430,16","2 799,05","11,00","2,00","1,00","Královéhradecký kraj","JIČÍN","Jičín"
"Bechlín","9 857,94","8 861,92","188,00","13 880,55","16 955,63","853,41","385,25","412,00","207,00","4,00","429,00","569,00","358,00","1 238,00","1,00","1 175,00","168,00","0,00","2,00","0,00","3,00","3,00","45,00","6,00","397,00","235,00","221,00","217,00","375,00","393,00","41,00","44,00","41,00","18,00","245,00","183,00","22,00","230,00","28,00","243,00","351,00","51,00","521,00","573,25","24 169,12","30,00","-2 644,39","23 595,88","26 813,51","30,00","9,00","8,00","Ústecký kraj","ROUDNICE NAD LABEM","Litoměřice"
"Bechyně","86 491,07","49 260,87","53 338,04","1 412,69","95 808,14","44 288,11","11 081,62","2 240,00","1 194,00","4,00","1 040,00","2 626,00","790,00","5 337,00","15,00","5 278,00","960,00","1,00","4,00","0,00","4,00","11,00","513,00","91,00","1 475,00","1 433,00","791,00","706,00","1 627,00","1 738,00","170,00","136,00","141,00","636,00","527,00","620,00","59,00","1 277,00","147,00","1 416,00","591,00","285,00","2 350,00","64 419,66","159 381,28","84,00","-22 917,76","94 961,67","182 299,04","151,00","54,00","53,00","Jihočeský kraj","TÁBOR","Tábor"
"Bečice","580,25","710,21","0,00","3,38","30,76","201,40","73,97","24,00","10,00","0,00","40,00","32,00","21,00","78,00","0,00","70,00","18,00","0,00","0,00","0,00","0,00","0,00","0,00","1,00","40,00","10,00","10,00","8,00","14,00","31,00","5,00","2,00","2,00","1,00","11,00","9,00","2,00","8,00","3,00","21,00","21,00","4,00","29,00","73,97","988,96","4,00","377,98","914,99","610,98","0,00","1,00","0,00","Jihočeský kraj","TÁBOR","Tábor"
"Bečice","1 084,05","1 114,00","0,00","8,25","765,76","360,47","154,13","38,00","20,00","0,00","50,00","44,00","36,00","98,00","1,00","98,00","25,00","0,00","0,00","0,00","0,00","0,00","1,00","0,00","37,00","12,00","28,00","13,00","20,00","33,00","5,00","2,00","3,00","29,00","19,00","12,00","8,00","14,00","3,00","23,00","36,00","1,00","44,00","154,13","1 636,84","0,00","-212,96","1 482,72","1 849,80","2,00","1,00","0,00","Jihočeský kraj","TÝN NAD VLTAVOU","České Budějovice"
"Bečov","45 709,73","20 596,92","0,00","179,78","1 452,75","24 781,71","3 002,83","629,00","226,00","2,00","212,00","657,00","189,00","1 685,00","23,00","1 630,00","159,00","15,00","2,00","1,00","5,00","8,00","31,00","40,00","480,00","156,00","456,00","340,00","531,00","534,00","53,00","68,00","131,00","32,00","162,00","158,00","14,00","212,00","34,00","209,00","135,00","170,00","513,00","3 002,83","48 561,22","43,00","1 398,89","45 558,41","47 162,33","106,00","22,00","20,00","Ústecký kraj","MOST","Most"
"Bečov nad Teplou","11 586,83","8 350,62","494,18","183,19","687,29","782,35","3 322,68","366,00","163,00","1,00","312,00","442,00","255,00","988,00","3,00","962,00","167,00","4,00","0,00","0,00","1,00","0,00","59,00","20,00","301,00","170,00","221,00","140,00","261,00","328,00","55,00","37,00","40,00","81,00","126,00","104,00","36,00","186,00","21,00","252,00","230,00","49,00","384,00","3 816,86","13 132,99","23,00","858,90","9 316,16","12 274,09","19,00","13,00","3,00","Karlovarský kraj","KARLOVY VARY","Karlovy Vary"
"Bečváry","6 975,76","9 246,93","298,62","32,50","4 091,81","940,27","328,89","368,00","166,00","4,00","347,00","453,00","278,00","1 033,00","33,00","981,00","185,00","0,00","1,00","0,00","2,00","0,00","64,00","11,00","329,00","190,00","180,00","136,00","327,00","309,00","38,00","38,00","32,00","110,00","156,00","107,00","54,00","190,00","24,00","164,00","256,00","38,00","419,00","627,51","10 847,20","45,00","-220,36","10 219,70","11 067,56","13,00","19,00","9,00","Středočeský kraj","KOLÍN","Kolín"
"Bedihošť","11 937,98","8 062,38","0,00","3 384,75","70,63","2 236,29","2 438,75","373,00","181,00","1,00","301,00","483,00","276,00","1 039,00","4,00","1 019,00","144,00","0,00","1,00","0,00","1,00","0,00","85,00","7,00","345,00","209,00","154,00","163,00","307,00","343,00","44,00","38,00","24,00","57,00","167,00","111,00","16,00","199,00","30,00","263,00","254,00","51,00","424,00","2 438,75","16 122,18","22,00","4 113,58","13 683,42","12 008,60","25,00","11,00","11,00","Olomoucký kraj","PROSTĚJOV","Prostějov"
"Bednárec","1 264,76","1 150,49","4 158,41","3,11","4 570,68","352,38","114,64","35,00","10,00","1,00","64,00","47,00","35,00","109,00","0,00","103,00","24,00","1,00","0,00","0,00","0,00","0,00","7,00","0,00","36,00","14,00","18,00","22,00","25,00","37,00","1,00","0,00","3,00","1,00","16,00","6,00","14,00","15,00","4,00","19,00","35,00","1,00","45,00","4 273,05","5 779,03","2,00","-56,36","1 505,98","5 835,40","1,00","2,00","3,00","Jihočeský kraj","JINDŘICHŮV HRADEC","Jindřichův Hradec"
"Bednáreček","1 140,61","1 721,37","0,00","9,30","16,06","385,33","61,17","70,00","23,00","0,00","112,00","76,00","67,00","192,00","0,00","192,00","32,00","0,00","3,00","0,00","0,00","0,00","16,00","1,00","62,00","30,00","32,00","36,00","54,00","55,00","7,00","8,00","14,00",NA,"41,00","15,00","7,00","35,00","7,00","41,00","65,00","8,00","70,00","61,17","2 177,16","7,00","1 020,55","2 116,00","1 156,61","10,00","3,00","1,00","Jihočeský kraj","JINDŘICHŮV HRADEC","Jindřichův Hradec"
"Bedřichov","10 032,52","4 698,58","200,00","316,20","128,60","4 901,61","66,44","83,00","52,00","2,00","119,00","148,00","77,00","322,00","0,00","300,00","30,00","6,00","0,00","0,00","3,00","0,00","35,00","2,00","57,00","96,00","31,00","65,00","98,00","112,00","9,00","8,00","18,00","37,00","35,00","21,00","10,00","85,00","11,00","135,00","70,00","7,00","143,00","266,44","10 182,80","18,00","21,71","9 916,39","10 161,09","5,00","3,00","3,00","Liberecký kraj","JABLONEC NAD NISOU","Jablonec n.Nisou"
"Bedřichov","2 763,04","1 977,89","0,00","0,00","141,44","295,83","261,44","94,00","50,00","0,00","109,00","123,00","78,00","249,00","1,00","255,00","39,00","0,00","0,00","0,00","0,00","0,00","25,00","3,00","80,00","56,00","39,00","42,00","73,00","80,00","7,00","8,00","6,00","8,00","60,00","34,00","7,00","47,00","11,00","45,00","75,00","10,00","109,00","261,44","2 535,14","6,00","-369,30","2 273,72","2 904,44","9,00","2,00","5,00","Jihomoravský kraj","BOSKOVICE","Blansko"
"Běhařov","1 378,10","1 670,58","261,00","500,00","358,27","750,85","61,08","52,00","29,00","0,00","71,00","111,00","46,00","204,00","0,00","221,00","28,00","0,00","0,00","0,00","4,00","0,00","12,00","4,00","69,00","45,00","36,00","23,00","63,00","85,00","2,00","3,00","29,00","4,00","66,00","44,00","8,00","43,00","10,00","45,00","45,00","3,00","107,00","322,08","3 243,53","5,00","1 507,15","2 921,43","1 736,38","5,00","2,00","1,00","Plzeňský kraj","KLATOVY","Klatovy"
"Běhařovice","4 357,48","3 977,49","320,18","2 725,59","566,23","835,27","478,50","141,00","57,00","0,00","207,00","162,00","125,00","393,00","1,00","374,00","79,00","2,00","0,00","0,00","0,00","0,00","17,00","1,00","135,00","71,00","82,00","49,00","100,00","129,00","22,00","14,00","15,00","43,00","50,00","42,00","8,00","42,00","17,00","82,00","123,00","25,00","133,00","798,68","8 337,01","7,00","3 413,35","7 538,35","4 923,66","5,00","4,00","5,00","Jihomoravský kraj","ZNOJMO","Znojmo"
"Bělá","2 243,87","2 203,49","99,00","9,27","257,90","875,92","122,48","100,00","47,00","0,00","139,00","123,00","79,00","259,00","1,00","251,00","37,00","0,00","0,00","0,00","0,00","0,00","16,00","4,00","80,00","61,00","41,00","39,00","75,00","84,00","10,00","14,00","9,00","32,00","37,00","27,00","24,00","44,00","6,00","50,00","78,00","11,00","114,00","221,48","3 310,15","4,00","808,41","3 088,68","2 501,74","2,00","6,00","2,00","Liberecký kraj","SEMILY","Semily"
"Bělá","5 855,52","4 663,00","6 291,82","167,60","5 976,78","708,29","2 174,85","218,00","116,00","3,00","186,00","308,00","169,00","670,00","3,00","661,00","101,00","0,00","0,00","0,00","1,00","0,00","28,00","0,00","253,00","117,00","151,00","95,00","210,00","227,00","23,00","14,00","15,00","8,00","97,00","78,00","5,00","109,00","34,00","94,00","168,00","49,00","264,00","8 466,67","14 005,55","18,00","2 173,32","5 538,89","11 832,23","9,00","15,00","7,00","Moravskoslezský kraj","HLUČÍN","Opava"
"Bělá","572,40","514,37","111,00","0,00","452,34","345,69","60,36","17,00","6,00","0,00","29,00","20,00","15,00","53,00","0,00","54,00","12,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","19,00","3,00","15,00","10,00","13,00","18,00","0,00","0,00","1,00",NA,"5,00","8,00","1,00","3,00","2,00","6,00","14,00","3,00","17,00","171,36","1 031,43","3,00","6,69","860,06","1 024,73","2,00","2,00","1,00","Vysočina","PELHŘIMOV","Pelhřimov"
"Bělá","1 798,60","1 556,13","3 818,70","8,07","108,88","714,18","198,65","79,00","39,00","0,00","112,00","88,00","67,00","211,00","0,00","207,00","47,00","0,00","0,00","0,00","0,00","0,00","9,00","1,00","69,00","62,00","34,00","26,00","56,00","67,00","6,00","9,00","5,00",NA,"40,00","32,00","11,00","28,00","9,00","42,00","64,00","5,00","85,00","4 017,35","6 295,73","7,00","4 388,26","2 278,38","1 907,47","4,00","3,00","0,00","Vysočina","SVĚTLÁ NAD SÁZAVOU","Havlíčkův Brod"
"Bělá nad Radbuzou","35 159,87","19 827,20","939,73","2 133,66","24 068,21","16 711,19","2 210,66","668,00","298,00","4,00","447,00","841,00","349,00","1 764,00","17,00","1 735,00","222,00","3,00","0,00","0,00","7,00","28,00","57,00","48,00","631,00","306,00","344,00","242,00","541,00","600,00","76,00","83,00","84,00","128,00","204,00","318,00","46,00","243,00","31,00","344,00","302,00","72,00","774,00","3 150,39","41 822,41","49,00","-17 405,70","38 672,05","59 228,11","58,00","13,00","11,00","Plzeňský kraj","DOMAŽLICE","Domažlice"
"Bělá nad Svitavou","7 186,92","4 489,28","0,00","5,23","1 100,66","4 965,84","226,42","202,00","82,00","4,00","197,00","214,00","141,00","515,00","0,00","505,00","95,00","0,00","1,00","0,00","0,00","0,00","23,00","4,00","208,00","78,00","96,00","85,00","142,00","155,00","20,00","18,00","11,00","22,00","50,00","76,00","9,00","67,00","11,00","80,00","129,00","43,00","182,00","226,42","9 686,78","18,00","1 399,17","9 460,35","8 287,60","10,00","6,00","4,00","Pardubický kraj","SVITAVY","Svitavy"
"Bělá pod Bezdězem","62 932,17","48 741,76","12 487,47","305,96","26 703,18","5 886,90","10 940,74","1 878,00","917,00","1,00","1 396,00","2 409,00","1 152,00","4 858,00","24,00","4 890,00","754,00","9,00","9,00","0,00","11,00","15,00","226,00","65,00","1 729,00","993,00","940,00","708,00","1 457,00","1 556,00","178,00","205,00","137,00","356,00","714,00","951,00","28,00","838,00","73,00","876,00","1 058,00","187,00","2 199,00","23 428,21","78 362,82","116,00","-11 272,49","54 934,62","89 635,31","146,00","49,00","40,00","Středočeský kraj","MLADÁ BOLESLAV","Mladá Boleslav"
"Bělá pod Pradědem","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","1","2","1","1","1","2","2","2","Olomoucký kraj","JESENÍK","Jeseník"
"Bělá u Jevíčka","2 608,50","2 861,28","0,00","3,56","85,83","456,97","271,74","148,00","57,00","0,00","185,00","174,00","130,00","349,00","1,00","355,00","74,00","0,00","0,00","0,00","0,00","0,00","11,00","0,00","150,00","74,00","58,00","42,00","94,00","112,00","15,00","12,00","9,00","2,00","78,00","63,00","5,00","57,00","12,00","48,00","129,00","15,00","153,00","271,74","3 593,54","0,00","899,25","3 321,81","2 694,29","5,00","4,00","5,00","Pardubický kraj","MORAVSKÁ TŘEBOVÁ","Svitavy"
"Bělčice","13 629,03","9 385,39","0,00","10,45","940,63","1 485,70","1 633,35","389,00","170,00","0,00","485,00","445,00","310,00","1 017,00","1,00","1 005,00","195,00","0,00","0,00","0,00","3,00","0,00","44,00","7,00","336,00","217,00","190,00","139,00","289,00","307,00","41,00","46,00","42,00","25,00","123,00","141,00","80,00","105,00","29,00","217,00","295,00","65,00","396,00","1 633,35","12 514,90","21,00","-2 054,70","10 881,54","14 569,60","25,00","11,00","11,00","Jihočeský kraj","BLATNÁ","Strakonice"
"Běleč","3 046,73","2 022,41","257,76","36,05","314,19","1 340,37","365,04","55,00","31,00","0,00","73,00","86,00","46,00","180,00","2,00","168,00","26,00","0,00","0,00","0,00","0,00","0,00","4,00","0,00","57,00","46,00","28,00","29,00","52,00","55,00","8,00","10,00","1,00","7,00","56,00","41,00","13,00","16,00","8,00","47,00","45,00","11,00","80,00","622,80","4 021,61","3,00","660,70","3 398,83","3 360,92","2,00","2,00","1,00","Jihočeský kraj","TÁBOR","Tábor"
"Běleč","2 365,31","2 929,56","0,00","83,00","1 809,33","354,99","328,29","118,00","66,00","2,00","122,00","168,00","94,00","331,00","2,00","336,00","55,00","0,00","0,00","0,00","0,00","0,00","23,00","6,00","87,00","63,00","65,00","56,00","86,00","114,00","12,00","8,00","24,00","4,00","59,00","27,00","17,00","74,00","12,00","65,00","88,00","14,00","148,00","328,29","3 695,81","7,00","-478,81","3 367,55","4 174,62","3,00","1,00","4,00","Středočeský kraj","KLADNO","Kladno"
"Běleč","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2",NA,"2","2","2","2","2","2","2","2","2","1","1","2","1","1","1","2","2","2","Jihomoravský kraj","TIŠNOV","Blansko"
