"obce","Počet obyvatel","Počet obyvatel nad 65 let","Počet obyvatel ve věku 0 až 14 let","Počet obyvatel ve věku 15-59 muži","Počet obyvatel ve věku 15-59 ženy","Počet obyvatel ve věku 60-64 let ženy","Počet obyvatel ve věku 60-64 muži","kraj","orp","okres"
"Ves Touškov","303,00","43,00","59,00","94,00","86,00","14,00","7,00","Plzeňský kraj","STOD","Plzeň-jih"
"Vesce","249,00","35,00","39,00","91,00","73,00","3,00","8,00","Jihočeský kraj","SOBĚSLAV","Tábor"
"Veselá","206,00","34,00","26,00","70,00","65,00","5,00","6,00","Liberecký kraj","SEMILY","Semily"
"Veselá","221,00","39,00","25,00","73,00","72,00","5,00","7,00","Vysočina","PELHŘIMOV","Pelhřimov"
"Veselá","193,00","28,00","21,00","69,00","64,00","7,00","4,00","Plzeňský kraj","ROKYCANY","Rokycany"
"Veselá","728,00","97,00","123,00","240,00","226,00","24,00","18,00","Zlínský kraj","VIZOVICE","Zlín"
"Veselé","299,00","34,00","50,00","109,00","88,00","10,00","8,00","Ústecký kraj","DĚČÍN","Děčín"
"Veselí","327,00","58,00","41,00","110,00","105,00","8,00","5,00","Pardubický kraj","PŘELOUČ","Pardubice"
"Veselí nad Lužnicí","6 609,00","874,00","975,00","2 207,00","2 140,00","210,00","203,00","Jihočeský kraj","SOBĚSLAV","Tábor"
"Veselí nad Moravou","11 884,00","1 529,00","1 653,00","4 036,00","3 916,00","416,00","334,00","Jihomoravský kraj","VESELÍ NAD MORAVOU","Hodonín"
"Veselice","95,00","12,00","13,00","35,00","28,00","2,00","5,00","Středočeský kraj","MLADÁ BOLESLAV","Mladá Boleslav"
"Veselíčko","201,00","32,00","27,00","73,00","57,00","4,00","8,00","Jihočeský kraj","MILEVSKO","Písek"
"Veselíčko","815,00","137,00","120,00","255,00","258,00","22,00","23,00","Olomoucký kraj","LIPNÍK NAD BEČVOU","Přerov"
"Veselý Žďár","498,00","88,00","87,00","153,00","149,00","9,00","12,00","Vysočina","HAVLÍČKŮV BROD","Havlíčkův Brod"
"Věšín","641,00","95,00","85,00","230,00","186,00","26,00","19,00","Středočeský kraj","PŘÍBRAM","Příbram"
"Vestec","1 741,00","89,00","327,00","616,00","645,00","28,00","36,00","Středočeský kraj","ČERNOŠICE","Praha-západ"
"Vestec","314,00","47,00","47,00","109,00","98,00","5,00","8,00","Středočeský kraj","NYMBURK","Nymburk"
"Vestec","136,00","23,00","26,00","42,00","42,00","2,00","1,00","Královéhradecký kraj","NÁCHOD","Náchod"
"Věstín","177,00","39,00","18,00","62,00","49,00","6,00","3,00","Vysočina","BYSTŘICE NAD  PERNŠT.","Žďár nad Sázavou"
"Věteřov","517,00","90,00","78,00","184,00","141,00","13,00","11,00","Jihomoravský kraj","KYJOV","Hodonín"
"Větřkovice","747,00","113,00","102,00","262,00","224,00","21,00","25,00","Moravskoslezský kraj","VÍTKOV","Opava"
"Větřní","3 980,00","422,00","732,00","1 333,00","1 295,00","95,00","103,00","Jihočeský kraj","ČESKÝ KRUMLOV","Český Krumlov"
"Větrný Jeníkov","566,00","85,00","84,00","202,00","167,00","18,00","10,00","Vysočina","JIHLAVA","Jihlava"
"Větrušice","396,00","42,00","56,00","139,00","133,00","15,00","11,00","Středočeský kraj","BRANDÝS N.L.-ST.BOLES","Praha-východ"
"Vevčice","74,00","19,00","5,00","26,00","20,00","2,00","2,00","Jihomoravský kraj","ZNOJMO","Znojmo"
"Veverská Bítýška","2 831,00","398,00","451,00","877,00","900,00","111,00","94,00","Jihomoravský kraj","KUŘIM","Brno-venkov"
"Veverské Knínice","851,00","122,00","148,00","271,00","248,00","30,00","32,00","Jihomoravský kraj","ROSICE","Brno-venkov"
"Věž","805,00","140,00","110,00","266,00","237,00","26,00","26,00","Vysočina","HAVLÍČKŮV BROD","Havlíčkův Brod"
"Věžky","376,00","60,00","57,00","127,00","111,00","11,00","10,00","Zlínský kraj","KROMĚŘÍŽ","Kroměříž"
"Věžky","200,00","33,00","35,00","66,00","53,00","5,00","8,00","Olomoucký kraj","PŘEROV","Přerov"
"Věžná","128,00","21,00","20,00","38,00","38,00","4,00","7,00","Vysočina","PACOV","Pelhřimov"
"Věžná","191,00","51,00","29,00","47,00","48,00","7,00","9,00","Vysočina","BYSTŘICE NAD  PERNŠT.","Žďár nad Sázavou"
"Věžnice","393,00","62,00","58,00","145,00","112,00","11,00","5,00","Vysočina","JIHLAVA","Havlíčkův Brod"
"Věžnice","147,00","25,00","16,00","50,00","51,00","3,00","2,00","Vysočina","JIHLAVA","Jihlava"
"Věžnička","113,00","23,00","15,00","39,00","33,00","2,00","1,00","Vysočina","JIHLAVA","Jihlava"
"Věžovatá Pláně","119,00","16,00","20,00","37,00","38,00","4,00","4,00","Jihočeský kraj","ČESKÝ KRUMLOV","Český Krumlov"
"Víceměřice","533,00","87,00","45,00","266,00","100,00","9,00","26,00","Olomoucký kraj","PROSTĚJOV","Prostějov"
"Vícemil","85,00","12,00","17,00","28,00","22,00","3,00","3,00","Jihočeský kraj","JINDŘICHŮV HRADEC","Jindřichův Hradec"
"Vícenice","203,00","28,00","44,00","66,00","55,00","5,00","5,00","Vysočina","MORAVSKÉ BUDĚJOVICE","Třebíč"
"Vícenice u Náměště nad Oslavou","366,00","55,00","55,00","124,00","111,00","9,00","12,00","Vysočina","NÁMĚŠŤ NAD OSLAVOU","Třebíč"
"Víchová nad Jizerou","904,00","121,00","162,00","283,00","289,00","29,00","20,00","Liberecký kraj","JILEMNICE","Semily"
"Vícov","470,00","63,00","74,00","144,00","149,00","20,00","20,00","Olomoucký kraj","PROSTĚJOV","Prostějov"
"Vidče","1 635,00","237,00","249,00","539,00","518,00","41,00","51,00","Zlínský kraj","ROŽNOV POD RADHOŠTĚM","Vsetín"
"Vídeň","385,00","51,00","72,00","130,00","110,00","12,00","10,00","Vysočina","VELKÉ MEZIŘÍČÍ","Žďár nad Sázavou"
"Vidice","230,00","42,00","31,00","73,00","64,00","11,00","9,00","Středočeský kraj","KUTNÁ HORA","Kutná Hora"
