"obce","Běžné výdaje","Daňové příjmy","Investiční přijaté dotace","Kapitálové příjmy","Kapitálové výdaje","Nedaňové příjmy","Neinvestiční přijaté dotace","Počet dokončených bytů","Počet obyvatel","Počet obyvatel nad 65 let","Počet obyvatel ve věku 0 až 14 let","Počet obyvatel ve věku 15-59 muži","Počet obyvatel ve věku 15-59 ženy","Počet obyvatel ve věku 60-64 let ženy","Počet obyvatel ve věku 60-64 muži","Počet podnikatelských subjektů celkem","Počet uchazečů o zaměstnání","Přijaté dotace","Příjmy","Přistěhovalí celkem","Saldo příjmů a výdajů","Vlastní příjmy","Výdaje celkem","Vystěhovalí celkem","Zemřelí celkem","Živě narození celkem","kraj","orp","okres"
"Hříšice","6 132,33","2 867,34","0,00","0,00","0,00","709,10","3 612,16",NA,"325,00","45,00","65,00","99,00","106,00","6,00","4,00","47,00","5,00","3 612,16","7 188,60","0,00","1 056,27","3 576,44","6 132,33","2,00","3,00","7,00","Jihočeský kraj","DAČICE","Jindřichův Hradec"
"Hříškov","3 144,62","4 225,43","0,00","78,70","495,54","256,90","141,60",NA,"401,00","70,00","57,00","126,00","112,00","17,00","19,00","100,00","16,00","141,60","4 702,63","13,00","1 062,47","4 561,03","3 640,16","11,00","5,00","7,00","Ústecký kraj","LOUNY","Louny"
"Hřivice","8 552,22","7 715,52","0,00","471,75","952,66","476,06","738,11",NA,"616,00","108,00","89,00","203,00","167,00","28,00","21,00","138,00","25,00","738,11","9 401,44","24,00","-103,44","8 663,33","9 504,88","20,00","3,00","6,00","Ústecký kraj","LOUNY","Louny"
"Hřivínův Újezd","6 109,74","4 274,08","350,00","10,28","2 364,49","1 056,55","1 013,19",NA,"542,00","79,00","68,00","183,00","182,00","17,00","13,00","113,00","13,00","1 363,19","6 704,10","4,00","-1 770,13","5 340,91","8 474,23","14,00","6,00","8,00","Zlínský kraj","ZLÍN","Zlín"
"Hrob","22 206,19","17 680,47","1 500,00","2 482,72","396,87","4 671,14","2 090,01","2,00","2 113,00","284,00","324,00","701,00","645,00","85,00","74,00","408,00","92,00","3 590,01","28 424,34","120,00","5 821,28","24 834,33","22 603,06","74,00","19,00","27,00","Ústecký kraj","TEPLICE","Teplice"
"Hrobce","4 987,55","4 707,04","629,30","974,50","1 144,38","651,15","523,29","7,00","599,00","77,00","98,00","199,00","190,00","18,00","17,00","144,00","24,00","1 152,59","7 485,28","53,00","1 353,35","6 332,69","6 131,93","15,00","5,00","9,00","Ústecký kraj","ROUDNICE NAD LABEM","Litoměřice"
"Hrobčice","14 467,58","11 840,01","250,00","1 557,03","3 414,63","1 907,70","1 148,32","6,00","969,00","120,00","158,00","324,00","307,00","23,00","37,00","182,00","42,00","1 398,32","16 703,06","69,00","-1 179,15","15 304,74","17 882,21","31,00","10,00","8,00","Ústecký kraj","BÍLINA","Teplice"
"Hrobice","3 723,18","3 697,44","0,00","145,32","947,52","636,78","92,11","1,00","488,00","83,00","80,00","158,00","142,00","17,00","8,00","119,00","9,00","92,11","4 571,65","24,00","-99,05","4 479,54","4 670,70","7,00","9,00","9,00","Zlínský kraj","VIZOVICE","Zlín"
"Hrobice","1 304,67","1 923,60","120,00","507,92","576,53","292,81","37,20","3,00","198,00","30,00","25,00","64,00","61,00","9,00","9,00","37,00","5,00","157,20","2 881,53","12,00","1 000,33","2 724,33","1 881,20","1,00","2,00","3,00","Pardubický kraj","PARDUBICE","Pardubice"
"Hrochův Týnec","17 960,76","16 612,19","200,00","6 058,26","6 864,47","4 312,99","1 863,45","10,00","1 939,00","279,00","355,00","628,00","547,00","65,00","65,00","361,00","112,00","2 063,45","29 046,89","70,00","4 221,66","26 983,44","24 825,23","37,00","17,00","19,00","Pardubický kraj","CHRUDIM","Chrudim"
"Hromnice","10 227,53","10 524,23","2 418,80","128,13","2 184,11","827,76","972,24","6,00","1 088,00","178,00","142,00","374,00","329,00","29,00","36,00","238,00","18,00","3 391,04","14 871,16","35,00","2 459,52","11 480,12","12 411,64","24,00","10,00","11,00","Plzeňský kraj","NÝŘANY","Plzeň-sever"
"Hronov","61 021,47","54 974,83","4 119,00","5 985,27","24 990,86","15 476,51","10 314,16","23,00","6 419,00","1 211,00","916,00","1 954,00","1 823,00","277,00","238,00","1 428,00","162,00","14 433,16","90 869,77","157,00","4 857,44","76 436,61","86 012,33","163,00","88,00","75,00","Královéhradecký kraj","NÁCHOD","Náchod"
"Hrotovice","21 445,74","16 579,51","7 037,36","1 666,46","12 228,76","3 968,93","6 105,97","1,00","1 790,00","225,00","277,00","612,00","566,00","58,00","52,00","351,00","68,00","13 143,33","35 358,23","47,00","1 683,73","22 214,90","33 674,50","48,00","19,00","31,00","Vysočina","TŘEBÍČ","Třebíč"
"Hroubovice","1 968,33","2 525,08","0,00","0,00","139,51","35,63","138,90",NA,"349,00","65,00","50,00","108,00","106,00","10,00","10,00","60,00","18,00","138,90","2 699,61","25,00","591,77","2 560,71","2 107,84","9,00","2,00","3,00","Pardubický kraj","CHRUDIM","Chrudim"
"Hroznatín","2 912,40","867,22","0,00","0,00","0,00","2,12","2 348,97","1,00","106,00","15,00","22,00","32,00","28,00","6,00","3,00","21,00","3,00","2 348,97","3 218,31","0,00","305,91","869,34","2 912,40","0,00","0,00","3,00","Vysočina","TŘEBÍČ","Třebíč"
"Hroznětín","14 719,49","16 364,27","823,46","4 341,85","3 800,60","529,74","474,26","6,00","1 906,00","215,00","320,00","670,00","587,00","65,00","49,00","473,00","102,00","1 297,72","22 533,58","106,00","4 013,49","21 235,86","18 520,09","71,00","18,00","24,00","Karlovarský kraj","OSTROV","Karlovy Vary"
"Hroznová Lhota","11 029,81","10 143,80","0,00","425,90","2 198,63","2 240,30","1 828,50","2,00","1 249,00","188,00","199,00","400,00","377,00","43,00","42,00","267,00","54,00","1 828,50","14 638,50","21,00","1 410,06","12 810,00","13 228,44","25,00","6,00","19,00","Jihomoravský kraj","VESELÍ NAD MORAVOU","Hodonín"
"Hrubá Skála","5 513,65","5 763,14","475,20","0,00","1 942,11","665,88","447,27","1,00","572,00","97,00","83,00","166,00","166,00","31,00","29,00","169,00","18,00","922,47","7 351,49","29,00","-104,27","6 429,02","7 455,76","16,00","5,00","6,00","Liberecký kraj","TURNOV","Semily"
"Hrubá Vrbka","6 599,21","5 586,22","1 376,00","0,00","3 131,78","1 307,50","533,41",NA,"664,00","106,00","96,00","220,00","193,00","26,00","23,00","135,00","46,00","1 909,41","8 803,13","13,00","-927,86","6 893,72","9 730,99","17,00","4,00","7,00","Jihomoravský kraj","VESELÍ NAD MORAVOU","Hodonín"
"Hrubčice","5 905,06","7 138,74","645,00","104,00","6 087,61","417,00","232,92","1,00","801,00","126,00","141,00","243,00","226,00","34,00","31,00","165,00","21,00","877,92","8 537,66","12,00","-3 455,01","7 659,74","11 992,67","24,00","10,00","16,00","Olomoucký kraj","PROSTĚJOV","Prostějov"
"Hrubý Jeseník","4 526,11","4 596,93","133,33","0,00","1 445,93","342,94","458,93",NA,"524,00","59,00","78,00","185,00","163,00","19,00","20,00","119,00","17,00","592,26","5 532,13","16,00","-439,91","4 939,87","5 972,04","5,00","7,00","6,00","Středočeský kraj","NYMBURK","Nymburk"
"Hrusice","4 681,17","5 010,59","8,00","0,00","672,94","1 199,48","166,86","9,00","575,00","54,00","107,00","189,00","178,00","25,00","22,00","156,00","5,00","174,86","6 384,93","15,00","1 030,82","6 210,07","5 354,11","5,00","9,00","4,00","Středočeský kraj","ŘÍČANY","Praha-východ"
"Hruška","2 456,55","2 429,42","0,00","30,00","70,00","453,84","149,23","1,00","261,00","48,00","40,00","83,00","77,00","6,00","7,00","39,00","7,00","149,23","3 062,49","13,00","535,94","2 913,26","2 526,55","6,00","6,00","3,00","Olomoucký kraj","PROSTĚJOV","Prostějov"
"Hrušky","14 119,23","12 969,11","9 160,00","11 476,79","21 407,18","3 920,72","591,75",NA,"1 483,00","235,00","210,00","487,00","456,00","46,00","49,00","312,00","51,00","9 751,75","38 118,37","43,00","2 591,96","28 366,62","35 526,41","26,00","16,00","22,00","Jihomoravský kraj","BŘECLAV","Břeclav"
"Hrušky","4 758,58","6 209,25","305,00","0,00","699,51","310,53","144,00","2,00","773,00","115,00","127,00","243,00","243,00","17,00","28,00","151,00","14,00","449,00","6 968,78","22,00","1 510,69","6 519,78","5 458,09","6,00","6,00","11,00","Jihomoravský kraj","SLAVKOV U BRNA","Vyškov"
"Hrušov","2 622,84","2 259,07","0,00","0,00","91,23","69,95","501,02",NA,"223,00","35,00","46,00","64,00","69,00","6,00","3,00","25,00","4,00","501,02","2 830,04","12,00","115,97","2 329,02","2 714,07","6,00","1,00","5,00","Středočeský kraj","MLADÁ BOLESLAV","Mladá Boleslav"
"Hrušová","2 544,35","3 517,92","0,00","100,00","284,83","290,95","29,47",NA,"328,00","48,00","35,00","119,00","111,00","7,00","8,00","78,00","8,00","29,47","3 938,34","5,00","1 109,16","3 908,87","2 829,18","9,00","3,00","0,00","Pardubický kraj","VYSOKÉ MÝTO","Ústí nad Orlicí"
"Hrušovany","11 628,95","4 605,79","19 777,34","3 291,27","28 045,52","7 223,23","3 645,14","3,00","472,00","40,00","103,00","151,00","157,00","11,00","10,00","66,00","27,00","23 422,48","38 542,77","50,00","-1 131,70","15 120,29","39 674,47","24,00","4,00","7,00","Ústecký kraj","CHOMUTOV","Chomutov"
"Hrušovany nad Jevišovkou","36 859,34","31 810,17","1 420,00","2 117,66","14 039,58","7 154,88","7 045,55","6,00","3 261,00","372,00","489,00","1 113,00","1 076,00","106,00","105,00","713,00","202,00","8 465,55","49 548,26","81,00","-1 350,66","41 082,71","50 898,92","70,00","23,00","38,00","Jihomoravský kraj","ZNOJMO","Znojmo"
"Hrušovany u Brna","18 116,99","25 821,85","11 103,39","2 023,17","22 268,62","3 857,59","784,20","6,00","3 113,00","342,00","506,00","1 041,00","1 033,00","101,00","90,00","540,00","78,00","11 887,59","43 590,20","110,00","3 204,59","31 702,61","40 385,61","89,00","25,00","35,00","Jihomoravský kraj","ŽIDLOCHOVICE","Brno-venkov"
"Hrutov","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","1","1","2","1","1","1","2","2","2","Vysočina","JIHLAVA","Jihlava"
"Hubenov","1 016,93","1 092,75","182,00","21,14","2 005,97","177,83","49,20","1,00","131,00","23,00","13,00","45,00","41,00","6,00","3,00","31,00","3,00","231,20","1 522,92","2,00","-1 499,98","1 291,72","3 022,90","2,00","5,00","4,00","Vysočina","JIHLAVA","Jihlava"
"Hudčice","2 995,31","2 235,99","0,00","0,66","530,51","396,65","165,07","1,00","242,00","53,00","22,00","73,00","73,00","13,00","8,00","52,00","10,00","165,07","2 798,37","12,00","-727,45","2 633,30","3 525,82","6,00","3,00","3,00","Středočeský kraj","PŘÍBRAM","Příbram"
"Hudlice","9 801,18","10 487,98","10 189,00","297,60","12 105,61","805,77","541,36",NA,"1 214,00","212,00","190,00","371,00","354,00","42,00","45,00","242,00","22,00","10 730,36","22 321,71","29,00","414,92","11 591,35","21 906,79","20,00","15,00","19,00","Středočeský kraj","BEROUN","Beroun"
"Hukvaldy","17 661,86","16 030,50","482,00","0,00","6 633,81","6 813,15","601,50","6,00","1 906,00","324,00","234,00","620,00","587,00","71,00","70,00","358,00","46,00","1 083,50","23 927,15","44,00","-368,52","22 843,65","24 295,67","21,00","19,00","15,00","Moravskoslezský kraj","FRÝDEK-MÍSTEK","Frýdek-Místek"
"Hulice","3 010,21","2 760,64","128,80","8,56","987,72","1 305,42","283,82",NA,"304,00","40,00","33,00","108,00","95,00","13,00","15,00","86,00","9,00","412,62","4 487,24","7,00","489,31","4 074,62","3 997,93","9,00","3,00","1,00","Středočeský kraj","VLAŠIM","Benešov"
"Hulín","80 610,27","77 841,90","10 154,00","10 855,05","34 253,48","30 033,39","6 630,33","33,00","7 277,00","1 016,00","986,00","2 487,00","2 369,00","211,00","208,00","1 332,00","281,00","16 784,33","135 514,67","138,00","20 650,92","118 730,34","114 863,75","191,00","65,00","85,00","Zlínský kraj","KROMĚŘÍŽ","Kroměříž"
"Humburky","2 411,88","2 625,22","95,00","2 349,20","408,20","307,33","160,30","3,00","323,00","72,00","39,00","101,00","97,00","8,00","6,00","56,00","9,00","255,30","5 537,05","22,00","2 716,97","5 281,75","2 820,08","8,00","14,00","2,00","Královéhradecký kraj","NOVÝ BYDŽOV","Hradec Králové"
"Humpolec","193 917,36","121 961,64","12 096,30","7 123,53","72 564,59","35 102,96","64 448,34","46,00","11 161,00","1 921,00","1 546,00","3 583,00","3 339,00","412,00","360,00","2 375,00","324,00","76 544,64","240 732,75","288,00","-25 749,20","164 188,13","266 481,95","242,00","116,00","119,00","Vysočina","HUMPOLEC","Pelhřimov"
"Huntířov","9 602,49","6 948,05","0,00","173,37","27,90","2 045,01","1 073,79","1,00","768,00","75,00","112,00","271,00","248,00","31,00","31,00","165,00","45,00","1 073,79","10 240,22","38,00","609,83","9 166,43","9 630,39","13,00","4,00","6,00","Ústecký kraj","DĚČÍN","Děčín"
"Hůrky","11 576,02","10 788,26","100,00","1 127,27","1 309,57","764,49","28,23",NA,"226,00","37,00","37,00","71,00","62,00","10,00","9,00","38,00","8,00","128,23","12 808,25","16,00","-77,34","12 680,02","12 885,59","6,00","1,00","3,00","Plzeňský kraj","ROKYCANY","Rokycany"
"Hurtova Lhota","1 745,77","1 884,96","0,00","23,64","185,21","131,89","137,33",NA,"221,00","37,00","39,00","71,00","68,00","3,00","3,00","38,00","5,00","137,33","2 177,82","2,00","246,84","2 040,49","1 930,98","0,00","2,00","3,00","Vysočina","HAVLÍČKŮV BROD","Havlíčkův Brod"
"Hůry","3 022,55","4 122,05","0,00","109,90","1 267,44","345,37","347,32","1,00","495,00","52,00","98,00","162,00","152,00","15,00","16,00","128,00","10,00","347,32","4 924,64","7,00","634,65","4 577,32","4 289,99","10,00","1,00","12,00","Jihočeský kraj","ČESKÉ BUDĚJOVICE","České Budějovice"
"Husí Lhota","857,32","1 741,35","116,68","226,25","656,39","28,53","91,46",NA,"149,00","23,00","24,00","49,00","48,00","2,00","3,00","16,00","0,00","208,14","2 204,27","2,00","690,56","1 996,13","1 513,71","0,00","1,00","2,00","Středočeský kraj","MLADÁ BOLESLAV","Mladá Boleslav"
